ID	Type	RA	Decl	I	V	V_I	P	A_1	A_2
OGLE-LMC-ECL-08765	C	05:09:31.97	-66:53:52.6	18.425	18.408	-0.017	0.42025630	0.599	0.595
OGLE-LMC-ECL-08829	C	05:09:41.07	-70:14:00.6	17.232	17.259	0.027	6.47365980	0.066	0.064
OGLE-LMC-ECL-08882	C	05:09:49.17	-66:45:51.4	18.127	18.065	-0.062	0.65197100	0.285	0.256
OGLE-LMC-ECL-08885	C	05:09:49.24	-68:53:02.4	15.053	15.182	0.129	0.97361450	0.942	0.850
OGLE-LMC-ECL-08997	C	05:10:03.30	-70:53:58.8	17.919	18.617	0.698	22.68850670	0.091	0.088
OGLE-LMC-ECL-09055	C	05:10:11.76	-69:06:25.6	17.631	17.645	0.014	0.52575150	0.973	0.962
OGLE-LMC-ECL-09066	ELL	05:10:14.30	-70:32:32.1	17.119	17.171	0.052	3.44466630	0.139	0.085
OGLE-LMC-ECL-09126	C	05:10:21.41	-68:40:03.0	17.771	17.820	0.049	0.42391660	0.353	0.351
OGLE-LMC-ECL-09129	C	05:10:21.64	-67:54:17.2	15.831	15.709	-0.122	1.03901010	0.232	0.223
OGLE-LMC-ECL-09166	C	05:10:26.21	-69:21:29.2	16.569	16.555	-0.014	1.21701880	0.128	0.097
OGLE-LMC-ECL-09237	C	05:10:36.84	-68:33:52.5	17.666	17.673	0.007	0.53215290	0.212	0.196
OGLE-LMC-ECL-09301	C	05:10:48.61	-68:31:32.8	18.027	18.133	0.106	1.90425680	0.261	0.256
OGLE-LMC-ECL-09342	ELL	05:10:53.97	-70:33:26.2	16.104	16.097	-0.007	3.64095270	0.143	0.071
OGLE-LMC-ECL-09482	C	05:11:14.51	-69:16:18.1	16.832	16.819	-0.013	1.00596430	0.454	0.443
OGLE-LMC-ECL-09625	ELL	05:11:41.28	-68:47:22.3	17.812	17.772	-0.040	14.13236630	0.116	0.109
OGLE-LMC-ECL-09689	C	05:11:52.92	-69:11:25.6	17.026	16.943	-0.083	0.75190060	0.257	0.239
OGLE-LMC-ECL-09958	C	05:12:34.42	-66:59:08.6	18.438	18.541	0.103	1.02264720	0.316	0.305
OGLE-LMC-ECL-10000	C	05:12:41.72	-67:27:26.4	14.909	15.570	0.661	0.34656600	0.457	0.441
OGLE-LMC-ECL-10063	ELL	05:12:51.84	-68:17:17.8	15.659	17.181	1.522	86.17138770	0.149	0.079
OGLE-LMC-ECL-10161	C	05:13:06.70	-67:24:24.2	14.538	14.391	-0.147	3.51622490	0.234	0.233
OGLE-LMC-ECL-10205	C	05:13:13.17	-67:15:47.7	17.225	18.398	1.173	40.37977250	0.241	0.234
OGLE-LMC-ECL-10748	ELL	05:14:30.60	-68:42:43.6	16.633	16.606	-0.027	55.49970390	0.050	0.049
OGLE-LMC-ECL-10823	ELL	05:14:42.77	-68:53:47.0	16.968	16.897	-0.071	1.16450510	0.127	0.066
OGLE-LMC-ECL-10907	ELL	05:14:54.59	-68:57:02.4	18.306	18.414	0.108	1.83921400	0.112	0.077
OGLE-LMC-ECL-10945	C	05:14:59.64	-68:02:13.0	14.542	15.206	0.664	0.38132210	0.405	0.382
OGLE-LMC-ECL-11003	C	05:15:07.52	-66:38:24.7	17.123	17.055	-0.068	0.85981320	0.453	0.446
OGLE-LMC-ECL-11028	ELL	05:15:11.24	-69:56:00.0	18.023	19.029	1.006	14.45377300	0.167	0.144
OGLE-LMC-ECL-11044	C	05:15:14.58	-71:09:00.1	16.678	16.707	0.029	0.56173940	0.158	0.157
OGLE-LMC-ECL-11136	C	05:15:27.84	-68:43:10.6	18.648	18.735	0.087	0.90512550	0.380	0.373
OGLE-LMC-ECL-11327	C	05:15:52.30	-70:48:32.4	17.819	18.828	1.009	14.72090910	0.192	0.171
OGLE-LMC-ECL-11375	C	05:16:01.25	-69:22:43.3	17.123	17.396	0.273	1.67502940	0.174	0.149
OGLE-LMC-ECL-11413	C	05:16:06.52	-67:30:38.5	17.524	17.467	-0.057	0.64376100	0.250	0.240
OGLE-LMC-ECL-11658	C	05:16:46.26	-69:30:59.1	16.235	16.099	-0.136	0.93075750	0.221	0.219
OGLE-LMC-ECL-11769	C	05:17:03.35	-69:42:04.8	16.776	16.691	-0.085	0.98997010	0.202	0.196
OGLE-LMC-ECL-11905	C	05:17:24.24	-68:39:48.4	18.171	18.390	0.219	1.65638920	0.213	0.199
OGLE-LMC-ECL-11909	C	05:17:25.05	-71:32:26.7	14.866	15.622	0.756	0.33036920	0.549	0.529
OGLE-LMC-ECL-12030	C	05:17:43.90	-67:55:20.4	16.803	16.756	-0.047	0.68947330	0.369	0.346
OGLE-LMC-ECL-12298	C	05:18:21.14	-68:59:14.3	17.937	18.788	0.851	1.02377760	0.086	0.080
OGLE-LMC-ECL-12428	C	05:18:37.05	-69:31:54.4	17.097	17.127	0.030	2.58892770	0.112	0.103
OGLE-LMC-ECL-12460	C	05:18:41.48	-68:01:22.7	16.472	16.351	-0.121	1.15343450	0.106	0.088
OGLE-LMC-ECL-12606	C	05:19:04.74	-68:29:45.5	17.747	17.696	-0.051	0.91421650	0.153	0.149
OGLE-LMC-ECL-12649	C	05:19:10.04	-68:00:37.3	17.604	17.551	-0.053	0.57052770	0.562	0.560
